Numero_capitulo,Volumen,Nombre,Titulo_romanji,Titulo_viz,Paginas,Fecha,Episodios,Anio,Saga Argumental
1,1,Romance Dawn - The Dawn of the Adventure,Romansu Don - Boken no Yoake,Romance Dawn,53,1997-07-19,1997 Issue ,1997,Saga del East Blue
2,1,"That Guy, ""Straw Hat Luffy""","Sono Otoko ""Mugiwara no Rufi""","They Call Him ""Straw Hat Luffy""",23,1997-07-28,1997 Issue ,1997,Saga del East Blue
3,1,Introducing Pirate Hunter Zoro,"""Kaizoku-gari no Zoro"" Tojo",Enter Zolo: Pirate Hunter,21,1997-08-04,1997 Issue ,1997,Saga del East Blue
4,1,"Marine Captain ""Axe-Hand Morgan""","Kaigun Taisa ""Onote no Mogan""",The Great Captain Morgan,19,1997-08-11,1997 Issue 37-,1997,Saga del East Blue
5,1,Pirate King and Master Swordsman,Kaizoku-O to Daikengo,The King of the Pirates and the Master Swordsman,19,1997-08-25,1997 Issue ,1997,Saga del East Blue
6,1,The First,Hitorime,Number One,23,1997-09-01,1997 Issue ,1997,Saga del East Blue
7,1,Friends,Tomodachi,Friends,20,1997-09-08,1997 Issue ,1997,Saga del East Blue
8,1,Introducing Nami,Nami Tojo,Nami,19,1997-09-15,1997 Issue ,1997,Saga del East Blue
9,2,The Devil Girl,Masho no Onna,Femme Fatale,21,1997-09-22,1997 Issue ,1997,Saga del East Blue
10,2,Incident at the Tavern,Sakaba no Ikken,Incident at the Tavern,23,1997-09-29,1997 Issue ,1997,Saga del East Blue
11,2,Flight,Haiso,Flight,19,1997-10-06,1997 Issue ,1997,Saga del East Blue
12,2,Dog,Inu,Dog,21,1997-10-13,1997 Issue ,1997,Saga del East Blue
13,2,Treasure,Takaramono,Treasure,19,1997-10-20,1997 Issue ,1997,Saga del East Blue
14,2,Reckless!!,Mubo!!,Reckless,19,1997-10-27,1997 Issue ,1997,Saga del East Blue
15,2,Gong,Gongu,Gong,19,1997-11-03,1997 Issue ,1997,Saga del East Blue
16,2,Versus The Buggy Pirate Crew,Basasu!! Bagi Kaizokudan,Versus Buggy's Crew,17,1997-11-10,1997 Issue ,1997,Saga del East Blue
17,2,Character,Kaku,"High Level, Low Level",20,1997-11-17,1997 Issue ,1997,Saga del East Blue
18,3,The Pirate Buggy the Clown,"Kaizoku ""Doke no Bagi""",The Pirate Buggy the Clown,19,1997-11-24,1997 Issue ,1997,Saga del East Blue
19,3,Devil Fruit,Akuma no Mi,Devil Fruit,19,1997-12-01,1998 Issue,1997,Saga del East Blue
